chutes,ladders,board_type,exact_roll,board_num,game_length,frequency
9,10,original,1,-1,63,4
9,10,original,1,-1,58,6
9,10,original,1,-1,99,1
9,10,original,1,-1,64,8
9,10,original,1,-1,121,2
9,10,original,1,-1,75,2
9,10,original,1,-1,83,2
9,10,original,1,-1,67,4
9,10,original,1,-1,60,5
9,10,original,1,-1,79,5
9,10,original,1,-1,90,3
9,10,original,1,-1,95,3
9,10,original,1,-1,103,2
9,10,original,1,-1,112,1
9,10,original,1,-1,76,3
9,10,original,1,-1,169,1
9,10,original,1,-1,149,1
9,10,original,1,-1,109,1
9,10,original,1,-1,8,1
9,10,original,1,-1,117,2
9,10,original,1,-1,62,8
9,10,original,1,-1,80,3
9,10,original,1,-1,132,2
9,10,original,1,-1,85,1
9,10,original,1,-1,105,2
9,10,original,1,-1,81,2
9,10,original,1,-1,93,1
9,10,original,1,-1,110,1
9,10,original,1,-1,254,1
9,10,original,1,-1,89,3
9,10,original,1,-1,74,3
9,10,original,1,-1,161,1
9,10,original,1,-1,134,1
9,10,original,1,-1,228,1
9,10,original,1,-1,111,2
9,10,original,1,-1,130,1
9,10,original,1,-1,104,1
9,10,original,1,-1,92,3
9,10,original,1,-1,87,1
9,10,original,1,-1,165,1
9,10,original,1,-1,139,1
9,10,original,1,-1,94,1
9,10,original,1,-1,126,1
9,10,original,1,-1,114,1
9,10,original,1,-1,84,2
9,10,random,0,10,28,20
9,10,random,0,10,47,6
9,10,random,0,10,8,28
9,10,random,0,10,23,15
9,10,random,0,10,96,3
9,10,random,0,10,15,37
9,10,random,0,10,17,19
9,10,random,0,10,51,5
9,10,random,0,10,24,18
9,10,random,0,10,12,47
9,10,random,0,10,39,12
9,10,random,0,10,38,11
9,10,random,0,10,13,34
9,10,random,0,10,46,8
9,10,random,0,10,34,21
9,10,random,0,10,10,65
9,10,random,0,10,36,13
9,10,random,0,10,9,56
9,10,random,0,10,70,2
9,10,random,0,10,44,11
9,10,random,0,10,19,33
9,10,random,0,10,40,13
9,10,random,0,10,26,18
9,10,random,0,10,21,32
9,10,random,0,10,20,25
9,10,random,0,10,14,34
9,10,random,0,10,31,13
9,10,random,0,10,63,3
9,10,random,0,10,30,22
9,10,random,0,10,55,5
9,10,random,0,10,77,3
9,10,random,0,10,11,41
9,10,random,0,10,32,17
9,10,random,0,10,75,3
9,10,random,0,10,27,20
9,10,random,0,10,35,15
9,10,random,0,10,65,2
9,10,random,0,10,29,14
9,10,random,0,10,7,11
9,10,random,0,10,37,16
9,10,random,0,10,16,19
9,10,random,0,10,18,9
9,10,random,0,10,22,33
9,10,random,0,10,60,5
9,10,random,0,10,49,9
9,10,random,0,10,93,3
9,10,random,0,10,121,2
9,10,random,0,10,43,10
9,10,random,0,10,50,5
9,10,random,0,10,54,4
9,10,random,0,10,25,21
9,10,random,0,10,56,5
9,10,random,0,10,52,6
9,10,random,0,10,68,3
9,10,random,0,10,48,7
9,10,random,0,10,33,11
9,10,random,0,10,41,5
9,10,random,0,10,58,6
9,10,random,0,10,72,5
9,10,random,0,10,61,3
9,10,random,0,10,53,4
9,10,random,0,10,157,1
9,10,random,0,10,42,4
9,10,random,0,10,66,4
9,10,random,0,10,67,3
9,10,random,0,10,59,3
9,10,random,0,10,45,6
9,10,random,0,10,88,2
9,10,random,0,10,69,2
9,10,random,0,10,99,2
9,10,random,0,10,71,1
9,10,random,0,10,78,1
9,10,random,0,10,73,2
9,10,random,0,10,82,1
9,10,random,0,10,105,1
9,10,random,0,10,57,2
9,10,random,0,10,79,2
9,10,random,0,10,83,2
9,10,random,0,10,91,1
9,10,random,0,10,112,1
9,10,random,0,10,80,1
9,10,random,0,10,92,1
9,10,random,0,10,94,1
9,10,random,0,10,74,1
9,10,random,0,10,89,1
9,10,random,0,10,62,3
9,10,random,0,10,64,1
9,10,random,0,10,107,1
9,10,random,0,10,87,1
9,10,random,0,10,85,1
9,10,random,0,10,104,1
9,10,random,0,11,16,35
9,10,random,0,11,11,57
9,10,random,0,11,6,11
9,10,random,0,11,12,40
9,10,random,0,11,20,28
9,10,random,0,11,52,1
9,10,random,0,11,4,102
9,10,random,0,11,17,39
9,10,random,0,11,9,56
9,10,random,0,11,10,62
9,10,random,0,11,3,97
9,10,random,0,11,15,28
9,10,random,0,11,24,9
9,10,random,0,11,18,32
9,10,random,0,11,26,16
9,10,random,0,11,27,16
9,10,random,0,11,5,33
9,10,random,0,11,36,8
9,10,random,0,11,31,9
9,10,random,0,11,25,19
9,10,random,0,11,19,29
9,10,random,0,11,8,49
9,10,random,0,11,14,27
9,10,random,0,11,22,26
9,10,random,0,11,30,10
9,10,random,0,11,28,7
9,10,random,0,11,23,14
9,10,random,0,11,49,2
9,10,random,0,11,21,19
9,10,random,0,11,29,11
9,10,random,0,11,66,1
9,10,random,0,11,13,31
9,10,random,0,11,34,4
9,10,random,0,11,35,9
9,10,random,0,11,7,13
9,10,random,0,11,42,5
9,10,random,0,11,54,4
9,10,random,0,11,37,4
9,10,random,0,11,32,8
9,10,random,0,11,41,4
9,10,random,0,11,38,4
9,10,random,0,11,47,2
9,10,random,0,11,62,1
9,10,random,0,11,57,1
9,10,random,0,11,55,2
9,10,random,0,11,40,3
9,10,random,0,11,33,4
9,10,random,0,11,50,1
9,10,random,0,11,48,1
9,10,random,0,11,39,2
9,10,random,0,11,46,2
9,10,random,0,11,45,1
9,10,random,0,11,44,1
9,10,random,0,12,39,10
9,10,random,0,12,17,44
9,10,random,0,12,25,24
9,10,random,0,12,41,10
9,10,random,0,12,13,27
9,10,random,0,12,28,27
9,10,random,0,12,53,6
9,10,random,0,12,31,23
9,10,random,0,12,18,27
9,10,random,0,12,42,12
9,10,random,0,12,21,24
9,10,random,0,12,59,5
9,10,random,0,12,15,41
9,10,random,0,12,24,22
9,10,random,0,12,33,14
9,10,random,0,12,29,22
9,10,random,0,12,16,46
9,10,random,0,12,38,16
9,10,random,0,12,63,6
9,10,random,0,12,12,26
9,10,random,0,12,54,9
9,10,random,0,12,94,2
9,10,random,0,12,37,11
9,10,random,0,12,105,4
9,10,random,0,12,19,33
9,10,random,0,12,27,20
9,10,random,0,12,26,32
9,10,random,0,12,66,3
9,10,random,0,12,30,26
9,10,random,0,12,130,1
9,10,random,0,12,22,21
